cycle,reward,avg_episode_len,loss
0,0.0,0.071,0.0
100,0.016000000000000004,7.581,0.002153184878564653
200,0.021000000000000008,8.396999999999998,0.0021390682017035836
300,0.032000000000000015,8.757000000000001,0.003342193766508369
400,0.02700000000000001,9.204,0.0026564683696382353
500,0.05000000000000001,10.356999999999998,0.004596342406984018
600,0.041000000000000016,10.633000000000003,0.005415797073265626
700,0.06999999999999999,11.475,0.007284167126560397
800,0.08899999999999998,13.404999999999994,0.009987778093771552
900,0.10399999999999991,14.154000000000002,0.012965296996479076
1000,0.10999999999999993,14.953000000000005,0.016362883336898726
1100,0.13699999999999984,16.67499999999999,0.01887078544133311
1200,0.15899999999999992,16.53100000000001,0.022078413209066255
1300,0.17800000000000002,18.040000000000006,0.02322248530662536
1400,0.18699999999999992,18.875999999999994,0.024168769498552452
1500,0.20799999999999996,20.135999999999996,0.023699309444065654
1600,0.22100000000000006,21.219000000000005,0.0229393395097518
1700,0.23399999999999996,23.505000000000006,0.023812182440121767
1800,0.26600000000000007,22.843999999999998,0.022106810152960395
1900,0.306,24.601,0.021809780927496983
2000,0.3399999999999999,24.681999999999995,0.020780902059498847
2100,0.353,26.928,0.022368172572458076
2200,0.3649999999999999,28.701999999999998,0.020938930035270826
2300,0.38300000000000006,29.219999999999995,0.01989001078655748
2400,0.43699999999999994,29.521000000000004,0.02018267253693326
2500,0.4479999999999999,29.27100000000002,0.02001194991719748
2600,0.4439999999999998,30.755000000000013,0.01985890638819743
2700,0.4990000000000002,30.918999999999997,0.019233306730273972
2800,0.4900000000000002,31.708000000000016,0.01881972916262091
2900,0.5269999999999999,33.37599999999998,0.01942138318743112
3000,0.5290000000000001,35.13599999999999,0.01951874444482863
3100,0.5790000000000003,37.69499999999999,0.01758121257067357
3200,0.573,35.034000000000006,0.01722461284197821
3300,0.568,37.50099999999998,0.018808324264316792
3400,0.6190000000000002,39.15900000000001,0.01850737914163474
3500,0.5910000000000003,39.669000000000004,0.018355053343468895
3600,0.6210000000000004,38.643999999999984,0.017677738437755098
3700,0.6250000000000001,39.35299999999999,0.017627406381757645
3800,0.6090000000000001,40.495000000000005,0.017842445590311676
3900,0.6360000000000002,40.45200000000001,0.018797061963974994
4000,0.652,42.539000000000016,0.01747562285329812
4100,0.6610000000000003,40.960999999999984,0.01856774572505636
4200,0.6630000000000001,43.25200000000002,0.018423946626820537
4300,0.6899999999999998,43.116000000000014,0.017478754548772388
4400,0.6680000000000003,43.02600000000001,0.018697060899938393
4500,0.6809999999999999,42.446999999999996,0.01775123188714918
4600,0.6869999999999997,43.315999999999995,0.018325710249238288
4700,0.708,42.638999999999996,0.018423245400953307
4800,0.7,43.79199999999999,0.017889974882398824
4900,0.7129999999999996,43.26,0.017608612625357765
5000,0.6680000000000001,43.41699999999999,0.01827037919033145
5100,0.6850000000000003,42.03000000000001,0.018842168374866488
5200,0.6809999999999998,42.94300000000002,0.019206282191269873
5300,0.7090000000000001,44.39299999999999,0.017324531596300236
5400,0.7070000000000001,43.631,0.017670661886131075
5500,0.6870000000000003,41.758,0.017785120714252884
5600,0.6830000000000002,44.394000000000005,0.018695742945240516
5700,0.7160000000000001,42.61499999999998,0.01684459943067762
5800,0.684,43.49300000000001,0.01807787641227187
5900,0.704,44.585,0.01817887610754264
6000,0.669,43.68799999999998,0.018129270783389058
6100,0.6979999999999998,41.236000000000004,0.017924809568460636
6200,0.7009999999999998,43.401,0.01765686208297748
6300,0.688,43.04000000000002,0.01867137826740968
6400,0.696,42.852999999999994,0.018142034582568124
6500,0.7460000000000001,42.01500000000001,0.016409436465239173
6600,0.6919999999999998,43.18499999999998,0.018129009480777378
6700,0.6980000000000001,43.229000000000035,0.016909730586137827
6800,0.6780000000000002,43.48599999999998,0.017777891896168317
6900,0.7070000000000001,41.483000000000004,0.017567574193614235
7000,0.6740000000000002,41.658999999999985,0.018501781905078108
7100,0.6920000000000002,43.61599999999999,0.01815529473498686
7200,0.6819999999999999,42.22100000000001,0.01840015054003662
7300,0.722,42.28700000000001,0.017166006015526796
7400,0.7010000000000004,43.507,0.017904752627014117
7500,0.6959999999999996,42.227000000000004,0.018008688080622417
7600,0.679,41.907,0.018303315541525613
7700,0.7070000000000002,41.989000000000004,0.017763874432528352
7800,0.6829999999999999,43.472000000000016,0.018009534450875525
7900,0.7059999999999998,43.408999999999985,0.017302693705032412
8000,0.7030000000000003,43.27800000000001,0.017902511802217424
8100,0.6820000000000002,42.873999999999995,0.018536080488037333
8200,0.6899999999999998,44.58599999999999,0.018023052239435546
8300,0.6990000000000001,42.26500000000001,0.01746663510970268
8400,0.6810000000000005,43.239000000000004,0.0184397449397667
8500,0.716,43.529,0.016363679734033566
8600,0.6990000000000002,42.63000000000001,0.01727271436512892
8700,0.7290000000000001,41.70500000000001,0.017011130499343812
8800,0.6729999999999999,43.00200000000002,0.017798614090764733
8900,0.6950000000000003,43.923999999999985,0.01876390865530164
9000,0.7119999999999997,42.935,0.01741064456810355
9100,0.7080000000000001,43.25000000000001,0.017788268221550028
9200,0.7190000000000001,41.12299999999999,0.017207960777024706
9300,0.6899999999999996,43.471000000000004,0.01861248881098184
9400,0.7070000000000002,42.672000000000004,0.017629683400734387
9500,0.6960000000000001,42.809000000000005,0.01864102857682334
9600,0.6849999999999998,43.026,0.017359216115687862
9700,0.7080000000000003,41.926,0.017561866595085525
9800,0.6660000000000003,44.78000000000001,0.019172145897464347
9900,0.7140000000000001,44.907,0.01759468882126939
