cycle,reward,avg_episode_len,loss
0,0.001,0.079,0.00010000980196069017
100,0.018000000000000002,7.720999999999999,0.002415398014059725
200,0.020000000000000004,8.213999999999999,0.001904979093551605
300,0.024000000000000007,8.540999999999999,0.0023785043862078366
400,0.02500000000000001,8.919999999999998,0.0028185426557252946
500,0.03200000000000002,9.937999999999999,0.0030962492392441155
600,0.041000000000000016,11.171999999999999,0.004367811741348168
700,0.04600000000000001,12.017000000000007,0.0051350726691038375
800,0.07099999999999994,12.967,0.007518997358199815
900,0.09199999999999997,13.405000000000003,0.009760665630639282
1000,0.08899999999999995,14.258999999999991,0.01173983449416597
1100,0.1279999999999999,15.458000000000004,0.015042404394181457
1200,0.12199999999999993,16.762,0.017144146574137514
1300,0.16599999999999995,16.459,0.019805474764965948
1400,0.17399999999999996,18.678,0.020504792120648575
1500,0.21600000000000005,19.99,0.020597829286728694
1600,0.24100000000000005,21.02599999999999,0.020832340827253444
1700,0.24100000000000002,22.704,0.021185925068344224
1800,0.286,23.309000000000005,0.022399910654729287
1900,0.304,23.45,0.022125008087184334
2000,0.30199999999999994,24.72400000000001,0.020053022725118063
2100,0.34199999999999997,25.514999999999997,0.021340366704259792
2200,0.3799999999999998,26.23,0.0205432025532695
2300,0.3969999999999999,26.476000000000017,0.02058170109993291
2400,0.4299999999999999,28.717999999999993,0.020354582468886013
2500,0.406,28.727000000000007,0.019969844617226947
2600,0.44399999999999973,31.28600000000001,0.020528346992051593
2700,0.5040000000000001,32.236000000000004,0.01972776846136528
2800,0.49300000000000005,32.58099999999999,0.019649639570205282
2900,0.48700000000000004,33.44900000000001,0.018913907711171702
3000,0.5199999999999998,34.183000000000014,0.01912236436967555
3100,0.5510000000000003,33.64400000000001,0.018562106943625468
3200,0.5510000000000002,33.519,0.018676216951846167
3300,0.573,33.824000000000005,0.018595413036944876
3400,0.5880000000000004,36.20900000000001,0.01847965439936118
3500,0.6220000000000004,35.047000000000004,0.01883259364142139
3600,0.6229999999999999,36.888000000000005,0.01968651352446934
3700,0.6210000000000001,36.736000000000004,0.018348772064979906
