cycle,reward,avg_episode_len
0,0.0,0.085,0.0
100,0.013000000000000001,7.753999999999999,0.0015972875579003867
200,0.016000000000000004,7.953999999999995,0.0019487494425865883
300,0.018000000000000006,8.630999999999995,0.0018705319621819241
400,0.04100000000000002,9.534999999999997,0.003663294385581166
500,0.042000000000000016,10.255,0.004133702705225849
600,0.048000000000000015,11.563000000000002,0.00523524765820929
700,0.06999999999999997,12.152999999999997,0.008292768950001708
800,0.06999999999999995,12.953000000000001,0.009054465993744031
900,0.07399999999999997,13.691,0.010781240467023728
