cycle,reward,avg_episode_len,loss
0,0.0,0.1,[0.]
100,0.014000000000000002,7.543999999999999,[0.00154005]
200,0.016,8.123999999999997,[0.00164714]
300,0.02400000000000001,9.151999999999997,[0.00255039]
400,0.031000000000000014,9.458999999999998,[0.00313244]
500,0.045000000000000026,10.122000000000002,[0.00371553]
600,0.041000000000000016,11.174999999999997,[0.00435687]
700,0.05899999999999998,11.669999999999995,[0.00695362]
800,0.05500000000000001,12.835000000000003,[0.00717039]
900,0.07099999999999997,13.487,[0.00854583]
1000,0.07999999999999996,13.936999999999998,[0.01003104]
1100,0.08599999999999997,14.757999999999996,[0.01092399]
1200,0.13199999999999987,16.671999999999993,[0.01341024]
1300,0.14299999999999988,17.789000000000005,[0.01512774]
1400,0.17999999999999997,19.251999999999995,[0.01902783]
1500,0.1949999999999998,19.504999999999992,[0.01999937]
1600,0.20999999999999994,20.363999999999997,[0.01946269]
1700,0.23000000000000004,21.908000000000005,[0.01934022]
1800,0.27,22.604,[0.02239944]
1900,0.27899999999999986,23.902,[0.02181184]
2000,0.32299999999999995,23.964999999999996,[0.02091965]
2100,0.32900000000000007,26.117999999999988,[0.02041772]
2200,0.3500000000000001,26.575000000000003,[0.02148024]
2300,0.3859999999999999,28.291999999999994,[0.01992008]
2400,0.42900000000000005,29.015000000000004,[0.01962976]
2500,0.47899999999999987,29.062,[0.01955529]
2600,0.44500000000000006,29.887999999999987,[0.02051775]
2700,0.4899999999999999,30.482999999999997,[0.01880722]
2800,0.473,32.521,[0.01902714]
2900,0.509,33.45400000000002,[0.01911886]
3000,0.49800000000000005,33.95600000000001,[0.01975445]
3100,0.5210000000000001,33.583,[0.01900364]
3200,0.5610000000000004,34.12100000000001,[0.01951644]
