cycle,reward,avg_episode_len
0,0.0,0.368
100,0.0030000000000000005,32.315
200,0.001,30.69499999999999
300,0.002,31.255999999999986
400,0.006,35.155999999999985
500,0.011,35.89699999999999
600,0.018000000000000002,37.086999999999996
700,0.022000000000000006,37.717000000000006
800,0.018000000000000002,38.95399999999998
900,0.023000000000000007,39.95899999999998
1000,0.02600000000000001,40.227999999999994
1100,0.03500000000000001,39.047000000000004
1200,0.04300000000000001,42.112000000000016
1300,0.03900000000000003,41.381
1400,0.053,42.617
1500,0.047,42.994
1600,0.064,43.84200000000001
1700,0.09199999999999997,45.66000000000001
1800,0.10199999999999988,45.044000000000004
1900,0.11199999999999996,46.84199999999998
2000,0.11599999999999991,48.048
2100,0.12299999999999991,46.784
2200,0.1649999999999999,52.15300000000002
2300,0.18299999999999986,50.82500000000001
2400,0.18599999999999992,51.943000000000005
2500,0.1999999999999999,52.752999999999986
2600,0.21599999999999997,53.732
2700,0.22699999999999998,56.33900000000003
2800,0.23,59.85200000000003
2900,0.279,61.648
3000,0.32599999999999996,66.042
3100,0.327,66.39699999999998
3200,0.31200000000000006,65.199
3300,0.3279999999999999,67.22099999999996
3400,0.33299999999999996,65.11699999999999
3500,0.33799999999999997,67.28200000000001
3600,0.3609999999999997,68.45899999999997
3700,0.343,67.993
3800,0.359,67.07299999999998
3900,0.3339999999999999,66.93900000000001
4000,0.366,67.23
4100,0.389,68.163
4200,0.36299999999999977,67.95099999999998
4300,0.4139999999999999,67.825
4400,0.37899999999999984,68.265
4500,0.3739999999999999,69.413
4600,0.49000000000000027,67.60999999999999
4700,0.45899999999999996,68.76299999999998
4800,0.4899999999999999,64.829
4900,0.4579999999999999,67.83699999999996
5000,0.46999999999999964,69.25100000000002
5100,0.46899999999999975,68.92800000000001
5200,0.467,68.436
5300,0.4779999999999999,68.27600000000001
5400,0.4769999999999998,68.385
5500,0.45600000000000007,67.83699999999997
5600,0.47100000000000003,68.47999999999998
5700,0.47099999999999986,66.665
5800,0.4729999999999999,68.224
5900,0.4570000000000001,67.344
6000,0.46999999999999986,66.71400000000003
6100,0.4769999999999998,68.53699999999999
6200,0.43799999999999994,66.96300000000001
6300,0.4619999999999998,69.184
6400,0.45599999999999985,68.07099999999997
6500,0.4619999999999999,67.75600000000003
6600,0.48599999999999993,68.28999999999999
6700,0.4630000000000002,68.87300000000003
6800,0.4739999999999999,67.26799999999999
6900,0.4520000000000001,68.022
7000,0.4749999999999998,68.76299999999996
7100,0.4959999999999997,68.73499999999999
7200,0.47,68.739
7300,0.446,67.37000000000003
7400,0.48999999999999994,67.57699999999998
7500,0.46599999999999997,66.94099999999997
7600,0.45099999999999996,69.15600000000002
7700,0.4459999999999998,68.20600000000002
7800,0.45499999999999985,68.19799999999998
7900,0.44299999999999984,68.86900000000001
8000,0.46499999999999986,68.832
8100,0.46299999999999997,68.09199999999998
8200,0.46999999999999986,67.09100000000001
8300,0.489,67.94900000000005
8400,0.4570000000000001,68.21000000000002
8500,0.45300000000000007,68.41499999999998
8600,0.47099999999999986,67.42999999999998
8700,0.462,68.11400000000002
8800,0.4729999999999999,67.716
8900,0.47499999999999987,67.78600000000003
9000,0.45499999999999985,68.48
9100,0.46900000000000014,67.05
9200,0.4939999999999997,67.75100000000002
9300,0.477,67.207
9400,0.485,68.15699999999998
9500,0.45299999999999985,68.85399999999997
9600,0.493,67.148
9700,0.5080000000000002,64.06599999999999
9800,0.48000000000000015,65.13699999999999
9900,0.49499999999999994,64.65799999999996
