avg_episode_len,cycle,loss,reward
0.068,0,0.0,0.0
7.778999999999996,100,0.001769448399283702,0.02
8.430000000000001,200,0.0018901637104202526,0.019000000000000003
8.986999999999998,300,0.0021665184265186,0.024000000000000007
9.964999999999998,400,0.002611636136151587,0.02700000000000001
10.953000000000001,500,0.0035519018124848967,0.03700000000000001
11.698000000000002,600,0.00546266527444981,0.05699999999999998
12.142000000000003,700,0.007975880955522444,0.05999999999999999
13.136000000000001,800,0.010424973141324168,0.06799999999999999
14.474,900,0.012770356667182287,0.07699999999999996
0.094,0,0.0,0.0
7.778999999999996,100,0.000536985464562916,0.006999999999999999
8.815999999999995,200,0.0020193495764753606,0.024000000000000007
8.811999999999998,300,0.0016028433550435942,0.018000000000000006
10.152000000000005,400,0.0022095450289483735,0.02700000000000001
10.490000000000004,500,0.0034823771350284815,0.03800000000000001
11.681999999999999,600,0.004798538274445682,0.05799999999999999
12.064000000000004,700,0.007637088438029258,0.07299999999999998
12.794000000000006,800,0.011437475260845811,0.07999999999999996
13.803999999999991,900,0.014830363064458946,0.084
0.06,0,0.0,0.0
8.004999999999999,100,0.001603508164268038,0.013000000000000001
8.453000000000005,200,0.0017963067894796827,0.02400000000000001
9.104000000000003,300,0.002002308451212579,0.02400000000000001
9.970000000000006,400,0.0030575192536759998,0.03800000000000001
10.916000000000002,500,0.005165352342210863,0.05900000000000001
12.022000000000006,600,0.006888598416862951,0.05
12.799000000000001,700,0.010303293359122452,0.06399999999999997
13.032000000000004,800,0.014328462944594141,0.08599999999999997
13.562000000000003,900,0.01612770844612726,0.08899999999999993
