avg_episode_len,cycle,loss,reward
0.11,0,0.0,0.0
7.994,100,0.001173824589974841,0.012
8.316,200,0.0013477006756731397,0.017000000000000005
9.226999999999999,300,0.0022453429902051913,0.02600000000000001
9.757999999999992,400,0.0021103820547353153,0.02500000000000001
11.064000000000004,500,0.00399831820908507,0.046000000000000006
10.952999999999998,600,0.0051413165623837125,0.04799999999999999
11.599999999999996,700,0.008095017018988971,0.06299999999999999
13.384000000000004,800,0.011190658256584517,0.07499999999999997
14.552999999999999,900,0.01450030141221139,0.09799999999999992
avg_episode_len,cycle,loss,reward
0.07200000000000001,0,0.0,0.0
avg_episode_len,cycle,loss,reward
0.08800000000000001,0,0.0,0.0
